answer,correct_answer,score
Adam Sandler,Adam Sandler,1.0
Adam Sandler,Adam Sandler,1.0
Adam Sandler,Adam Sandler,1.0
Adam Sandler,Adam Sandler,1.0
Adam Sandler,Adam Sandler,1.0
Adam Sandler,Adam Sandler,1.0
Adam Sandler,Adam Sandler,1.0
Adam Sandler,Adam Sandler,1.0
Adam Sandler ,Adam Sandler,1.0
Aa Sandler,Adam Sandler,0.91
Aaam Sandler,Adam Sandler,0.92
Aacm Sandler,Adam Sandler,0.92
Aada Sandler,Adam Sandler,0.92
Aadam Sadler,Adam Sandler,0.92
Aadam Safndler,Adam Sandler,0.92
Aadam Sajndler,Adam Sandler,0.92
Aadam Salndler,Adam Sandler,0.92
Aadam Sancdler,Adam Sandler,0.92
Aadam Sander,Adam Sandler,0.92
Aadam Sandle,Adam Sandler,0.92
Aadam Sandlejr,Adam Sandler,0.92
Aadam Sandler,Adam Sandler,0.96
Aadam Sandyler,Adam Sandler,0.92
Aadam Sanler,Adam Sandler,0.92
Aadam Sanrdler,Adam Sandler,0.92
Aadam Sanwdler,Adam Sandler,0.92
Aadam Sndler,Adam Sandler,0.92
Aadam andler,Adam Sandler,0.92
Aadam bSandler,Adam Sandler,0.92
Aadam fSandler,Adam Sandler,0.92
Aadam jSandler,Adam Sandler,0.92
Aadam nSandler,Adam Sandler,0.92
Aadam tSandler,Adam Sandler,0.92
AadamSandler,Adam Sandler,0.92
Aadamk Sandler,Adam Sandler,0.92
Aadamo Sandler,Adam Sandler,0.92
Aadbam Sandler,Adam Sandler,0.92
Aadm Sandler,Adam Sandler,0.92
Aadyam Sandler,Adam Sandler,0.92
Aafm Sandler,Adam Sandler,0.92
Aagm Sandler,Adam Sandler,0.92
Aahm Sandler,Adam Sandler,0.92
Aakm Sandler,Adam Sandler,0.92
Aalm Sandler,Adam Sandler,0.92
Aam Saandler,Adam Sandler,0.92
Aam Sabndler,Adam Sandler,0.92
Aam Sacndler,Adam Sandler,0.92
Aam Sadler,Adam Sandler,0.91
Aam Sadndler,Adam Sandler,0.92
Aam Saendler,Adam Sandler,0.92
Aam Safndler,Adam Sandler,0.92
Aam Sagndler,Adam Sandler,0.92
Aam Sahndler,Adam Sandler,0.92
Aam Saindler,Adam Sandler,0.92
Aam Sajndler,Adam Sandler,0.92
Aam Sakndler,Adam Sandler,0.92
Aam Salndler,Adam Sandler,0.92
Aam Samndler,Adam Sandler,0.92
Aam Sanadler,Adam Sandler,0.92
Aam Sanbdler,Adam Sandler,0.92
Aam Sancdler,Adam Sandler,0.92
Aam Sandaler,Adam Sandler,0.92
Aam Sandbler,Adam Sandler,0.92
Aam Sandcler,Adam Sandler,0.92
Aam Sanddler,Adam Sandler,0.92
Aam Sandeler,Adam Sandler,0.92
Aam Sander,Adam Sandler,0.91
Aam Sandfler,Adam Sandler,0.92
Aam Sandgler,Adam Sandler,0.92
Aam Sandhler,Adam Sandler,0.92
Aam Sandiler,Adam Sandler,0.92
Aam Sandkler,Adam Sandler,0.92
Aam Sandlaer,Adam Sandler,0.92
Aam Sandlcer,Adam Sandler,0.92
Aam Sandlder,Adam Sandler,0.92
Aam Sandle,Adam Sandler,0.91
Aam Sandlear,Adam Sandler,0.92
Aam Sandleer,Adam Sandler,0.92
Aam Sandlegr,Adam Sandler,0.92
Aam Sandlehr,Adam Sandler,0.92
Aam Sandleir,Adam Sandler,0.92
Aam Sandlejr,Adam Sandler,0.92
Aam Sandlekr,Adam Sandler,0.92
Aam Sandlenr,Adam Sandler,0.92
Aam Sandleor,Adam Sandler,0.92
Aam Sandlepr,Adam Sandler,0.92
Aam Sandleqr,Adam Sandler,0.92
Aam Sandler,Adam Sandler,0.96
Aam Sandlesr,Adam Sandler,0.92
Aam Sandletr,Adam Sandler,0.92
Aam Sandleur,Adam Sandler,0.92
Aam Sandlevr,Adam Sandler,0.92
Aam Sandlewr,Adam Sandler,0.92
Aam Sandlexr,Adam Sandler,0.92
Aam Sandleyr,Adam Sandler,0.92
Aam Sandlezr,Adam Sandler,0.92
Aam Sandlfer,Adam Sandler,0.92
Aam Sandlher,Adam Sandler,0.92
Aam Sandlier,Adam Sandler,0.92
Aam Sandljer,Adam Sandler,0.92
Aam Sandlker,Adam Sandler,0.92
Aam Sandller,Adam Sandler,0.92
Aam Sandlmer,Adam Sandler,0.92
Aam Sandlner,Adam Sandler,0.92
Aam Sandloer,Adam Sandler,0.92
Aam Sandlper,Adam Sandler,0.92
Aam Sandlqer,Adam Sandler,0.92
Aam Sandlr,Adam Sandler,0.91
Aam Sandlrer,Adam Sandler,0.92
Aam Sandlser,Adam Sandler,0.92
Aam Sandlter,Adam Sandler,0.92
Aam Sandluer,Adam Sandler,0.92
Aam Sandlwer,Adam Sandler,0.92
Aam Sandlxer,Adam Sandler,0.92
Aam Sandlyer,Adam Sandler,0.92
Aam Sandlzer,Adam Sandler,0.92
Aam Sandmler,Adam Sandler,0.92
Aam Sandnler,Adam Sandler,0.92
Aam Sandoler,Adam Sandler,0.92
Aam Sandpler,Adam Sandler,0.92
Aam Sandqler,Adam Sandler,0.92
Aam Sandrler,Adam Sandler,0.92
Aam Sandsler,Adam Sandler,0.92
Aam Sandtler,Adam Sandler,0.92
Aam Sanduler,Adam Sandler,0.92
Aam Sandvler,Adam Sandler,0.92
Aam Sandxler,Adam Sandler,0.92
Aam Sandyler,Adam Sandler,0.92
Aam Sandzler,Adam Sandler,0.92
Aam Sanedler,Adam Sandler,0.92
Aam Sanfdler,Adam Sandler,0.92
Aam Sangdler,Adam Sandler,0.92
Aam Sanidler,Adam Sandler,0.92
Aam Sanjdler,Adam Sandler,0.92
Aam Sankdler,Adam Sandler,0.92
Aam Sanldler,Adam Sandler,0.92
Aam Sanler,Adam Sandler,0.91
Aam Sanmdler,Adam Sandler,0.92
Aam Sanndler,Adam Sandler,0.92
Aam Sanodler,Adam Sandler,0.92
Aam Sanpdler,Adam Sandler,0.92
Aam Sanrdler,Adam Sandler,0.92
Aam Sansdler,Adam Sandler,0.92
Aam Santdler,Adam Sandler,0.92
Aam Sanudler,Adam Sandler,0.92
Aam Sanvdler,Adam Sandler,0.92
Aam Sanwdler,Adam Sandler,0.92
Aam Sanydler,Adam Sandler,0.92
Aam Sanzdler,Adam Sandler,0.92
Aam Saondler,Adam Sandler,0.92
Aam Saqndler,Adam Sandler,0.92
Aam Sarndler,Adam Sandler,0.92
Aam Sasndler,Adam Sandler,0.92
Aam Satndler,Adam Sandler,0.92
Aam Saundler,Adam Sandler,0.92
Aam Savndler,Adam Sandler,0.92
Aam Sawndler,Adam Sandler,0.92
Aam Saxndler,Adam Sandler,0.92
Aam Sayndler,Adam Sandler,0.92
Aam Sazndler,Adam Sandler,0.92
Aam Sbandler,Adam Sandler,0.92
Aam Sdandler,Adam Sandler,0.92
Aam Seandler,Adam Sandler,0.92
Aam Sgandler,Adam Sandler,0.92
Aam Shandler,Adam Sandler,0.92
Aam Siandler,Adam Sandler,0.92
Aam Sjandler,Adam Sandler,0.92
Aam Skandler,Adam Sandler,0.92
Aam Slandler,Adam Sandler,0.92
Aam Smandler,Adam Sandler,0.92
Aam Snandler,Adam Sandler,0.92
Aam Sndler,Adam Sandler,0.91
Aam Soandler,Adam Sandler,0.92
Aam Spandler,Adam Sandler,0.92
Aam Sqandler,Adam Sandler,0.92
Aam Ssandler,Adam Sandler,0.92
Aam Standler,Adam Sandler,0.92
Aam Suandler,Adam Sandler,0.92
Aam Svandler,Adam Sandler,0.92
Aam Swandler,Adam Sandler,0.92
Aam Sxandler,Adam Sandler,0.92
